05-09-2023	08:54:55 	 283db14f-c7ef-4a95-aaa3-20dabda57d72 	 GET 	 undefined 	 /employees 
05-09-2023	09:00:32 	 d25f2321-db58-4a88-a4e3-e66cf567d376 	 GET 	 undefined 	 / 
05-09-2023	09:01:01 	 8e36afa7-7a5b-4985-aa3b-8c60a88d97b6 	 GET 	 undefined 	 / 
05-09-2023	09:01:01 	 7a1fdcfb-f605-4405-a7d4-e7682c61d20f 	 GET 	 undefined 	 /favicon.ico 
05-09-2023	09:01:18 	 df3cfe6b-a056-4ef6-b651-ad51c2981c8b 	 GET 	 undefined 	 / 
05-09-2023	09:01:18 	 5328db18-b7a1-4fe9-8035-e2143659ecb7 	 GET 	 undefined 	 /css/style.css 
05-09-2023	09:01:18 	 48991aab-5641-4710-8384-de85a098d9a7 	 GET 	 undefined 	 /favicon.ico 
05-09-2023	09:01:19 	 a199e23a-e9f6-4af6-988a-42eae16b321f 	 GET 	 undefined 	 / 
05-09-2023	09:01:19 	 dfeb6bdc-1889-40a1-bdec-771b8ed94b6b 	 GET 	 undefined 	 /css/style.css 
05-09-2023	09:01:23 	 60ad200b-b283-4a5b-87af-325cc06240c3 	 GET 	 undefined 	 / 
05-09-2023	09:01:33 	 eee73b29-8ab6-4185-9299-f9702f062779 	 GET 	 undefined 	 /subdir 
05-09-2023	09:01:33 	 36774dfe-d702-478c-bf8e-2aa2516f8ec0 	 GET 	 undefined 	 /subdir/ 
05-09-2023	09:42:31 	 b718c121-a53b-4fcd-ae14-103678473072 	 GET 	 undefined 	 /state 
05-09-2023	09:42:47 	 50f1a551-18e1-4db9-87e8-bed8d363b3ff 	 GET 	 undefined 	 / 
05-09-2023	09:43:03 	 ed078305-89a8-4860-a932-b726fc80d74d 	 GET 	 undefined 	 / 
05-09-2023	09:44:37 	 127fe69c-fcee-4cb9-8da0-8f92f4aca268 	 GET 	 undefined 	 /?contig=true 
05-09-2023	09:56:29 	 7f280fb9-5c33-4633-a9e1-588e7ffe3138 	 GET 	 undefined 	 /states/?contig=true 
05-09-2023	09:56:36 	 f7944e33-152d-4302-b71e-df3337cf2d06 	 GET 	 undefined 	 /states/ 
05-09-2023	09:56:51 	 ae055497-a8d2-46ff-afd2-4b5ac26f8474 	 GET 	 undefined 	 /states/?contig=true 
05-09-2023	10:13:18 	 56c64ac4-2b2f-4f39-b07c-a5a125d3673a 	 GET 	 undefined 	 /states/Alaska 
05-09-2023	10:13:23 	 4608d8ef-59eb-4073-afe0-14a481a3e9cd 	 GET 	 undefined 	 /states/AK 
05-09-2023	10:13:26 	 1cb7aba2-3899-466a-b5a8-8c029e4aecd9 	 GET 	 undefined 	 /states 
05-09-2023	10:13:30 	 ebc1e6c4-2245-4e5d-ad95-50cff4ee57fc 	 GET 	 undefined 	 /states/AL 
05-09-2023	10:17:22 	 6fc5c6eb-8f37-4119-88cd-36e9dd7077fc 	 GET 	 undefined 	 /states/AL 
05-09-2023	10:18:46 	 73b2ee8c-b07b-44a5-8987-eac0b8e7da04 	 GET 	 undefined 	 /states/AL 
05-09-2023	10:18:52 	 c4a153e3-2227-43cb-b8b5-ed879d824a29 	 GET 	 undefined 	 /states/AL 
05-09-2023	10:25:55 	 f2b813a3-08b2-47f1-9332-4a09c906b154 	 GET 	 undefined 	 /states/AL 
05-09-2023	10:26:07 	 7db5d8a6-cd7c-409c-9683-ee0487b2fa98 	 GET 	 undefined 	 /states/KS 
05-09-2023	10:26:10 	 20a2014f-32ca-4f97-a1e1-2e26f573ea7d 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:28:14 	 1e905675-375b-4af9-a91c-44f5df4bae6a 	 POST 	 undefined 	 /states/ks 
05-09-2023	10:29:19 	 b9c77749-66a3-4217-8aeb-8c144f97bc4f 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	10:31:16 	 1ed16b86-c5a6-42e2-b2ab-96300febcbc3 	 POST 	 undefined 	 /states/ks/funfact?State%20Nickname=Sunflower%20State 
05-09-2023	10:32:45 	 b691d25b-a77e-46a0-bf6c-8b2dede5fb5d 	 POST 	 undefined 	 /states/ks/funfact?%22State%20Nickname%22=%22Sunflower%20State%22 
05-09-2023	10:32:51 	 41653948-dcd6-4904-afc7-33ed35b8886d 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	10:32:59 	 31c7be96-8d40-4bdd-a312-d9661d3f1f03 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	10:35:54 	 02e9ddc2-880f-49ef-9b95-1d0cecaed2cc 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:37:11 	 9302da9f-daed-447c-b727-31757ff80a26 	 GET 	 undefined 	 /states/ks/capital 
05-09-2023	10:37:22 	 98113aa4-b79b-4114-87f5-492d8f864549 	 GET 	 undefined 	 /states/ks/nickname 
05-09-2023	10:37:31 	 eb106b7a-6f73-4581-9b99-11a056aa766f 	 GET 	 undefined 	 /states/ks/ks 
05-09-2023	10:37:35 	 ed9b10b9-04f5-470b-80c4-38aab0153cdd 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:37:43 	 926a1733-4915-44d1-a7bd-06f897139166 	 GET 	 undefined 	 /states/ 
05-09-2023	10:38:53 	 a35a9e82-844d-492f-81f1-5a9aed042967 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:40:02 	 6ff1f676-b67e-40f4-b3f1-489cc278917b 	 GET 	 undefined 	 /states 
05-09-2023	10:40:28 	 a0c44630-90e2-4bb3-9b26-ec02bdb689f7 	 GET 	 undefined 	 /states/ 
05-09-2023	10:42:49 	 60ea682f-c96c-4f7b-9517-e3bbf022c18f 	 GET 	 undefined 	 /states/ 
05-09-2023	10:43:11 	 adbef411-1964-44fa-a1c9-9fc2f753c361 	 GET 	 undefined 	 /states/ 
05-09-2023	10:43:17 	 d99db35e-78bc-47f5-bb37-61eac6a50852 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:44:25 	 2c2913c7-109e-4f37-8811-19ff8191a52c 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:44:39 	 5dabd11e-937c-4b2f-a640-d76753ae4a7d 	 GET 	 undefined 	 /states/ks 
05-09-2023	10:54:44 	 6b80e14e-587a-4cd6-b55f-4c74f075437c 	 POST 	 undefined 	 /states/ks 
05-09-2023	10:54:51 	 a66d1517-48ce-4a96-bb1f-76830260f254 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	10:57:16 	 142559e3-a46c-4905-ae6d-0e3f68f9dc4f 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	10:59:14 	 cec7f9ec-3a9b-4594-a0eb-395de36a7480 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	11:04:39 	 85302860-6391-4f28-bd88-ce7e788d7fbe 	 POST 	 undefined 	 /states/ks/funfact 
05-09-2023	11:10:15 	 f6f7ab10-2e65-4022-b2b5-93cf023958a6 	 POST 	 undefined 	 /test 
05-09-2023	11:10:59 	 0a158fe3-6a17-4216-85a2-a7fbf78f15fd 	 POST 	 undefined 	 /states/test 
05-09-2023	11:13:07 	 8cdf5252-31f4-4dc5-8260-b3850145f787 	 POST 	 undefined 	 /states/test 
05-09-2023	11:13:09 	 682a1762-0c44-4b73-a12b-d6999dc618a0 	 POST 	 undefined 	 /states/test 
05-09-2023	11:24:56 	 76cbd6fa-13d9-4825-946e-86a5d7dbc7fe 	 POST 	 undefined 	 /states/KS/funfact 
05-09-2023	11:25:38 	 c467ad88-6286-401d-9f8f-e92557d70bc8 	 GET 	 undefined 	 /states/ks 
05-09-2023	11:26:02 	 4dbbfcef-b46d-4e40-9f56-0fa2cbf6bc3f 	 GET 	 undefined 	 /states/ 
05-09-2023	11:29:45 	 1e1e70a4-f671-40cb-80fe-dcdf059f341d 	 GET 	 undefined 	 /states/ 
05-09-2023	11:29:56 	 64b7d955-3134-413f-8e1b-4deba129aecc 	 GET 	 undefined 	 /states/ 
05-09-2023	11:31:28 	 3ef435bd-555d-4776-a5c0-d136b4d9aca7 	 GET 	 undefined 	 /states/ 
05-09-2023	11:32:01 	 9ada2492-7c9e-4e5c-87d2-079cbc6547a4 	 GET 	 undefined 	 /states/ks 
05-09-2023	11:35:26 	 a0f70273-ba92-487a-9048-6bff910c164a 	 GET 	 undefined 	 /states/ks 
05-09-2023	11:35:57 	 414de72d-c6a0-4acc-8464-536507ee7e4c 	 GET 	 undefined 	 /states/?contig=true 
05-09-2023	11:36:06 	 eb592341-cd97-464b-81f8-0b4ac211b346 	 GET 	 undefined 	 /states/?contig=false 
05-09-2023	11:36:22 	 110ed57c-b27c-4a92-9743-7d15707aa749 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:39:46 	 d2907835-e652-42e1-ab72-d1f96b03f855 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:40:11 	 bc8ff324-ee64-44e1-9438-0c6fd804380b 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:40:47 	 190f9171-0814-49b9-9dc9-e92e7f57b9cc 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:42:38 	 a32a24ce-921a-452d-85fb-9f720f389cbc 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:42:59 	 778a198e-979e-4811-814b-be010766f4a0 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:45:17 	 420358e2-5684-4e53-a431-2146bbaae9a1 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:46:23 	 12788d7c-6b78-4575-80cb-8561f810785c 	 GET 	 undefined 	 /states/ks/funfact 
05-09-2023	11:47:49 	 b471d72b-de78-411b-a8a1-270916c14912 	 GET 	 undefined 	 /states/ks/funfact 
05-10-2023	12:07:24 	 851963e1-23b8-40d4-89d3-dcc939724470 	 GET 	 undefined 	 /states/ks/funfact 
05-10-2023	12:10:24 	 072f51c1-5b66-40db-8eb9-c435b4ed2a78 	 GET 	 undefined 	 /states/KS/funfact 
05-10-2023	12:10:38 	 1e856d8b-764b-48bf-922f-b82352a3d9a1 	 GET 	 undefined 	 /states/KS/ 
05-10-2023	12:13:14 	 883309fe-1c02-4243-8abe-ea1c5f701c89 	 GET 	 undefined 	 /states/KS/ 
05-10-2023	12:13:19 	 7ddad86e-0a46-40f4-b7ff-e05ffdb38180 	 GET 	 undefined 	 /states/KS/funfact 
05-10-2023	12:13:24 	 b28417d6-5ae6-485c-b71b-a1ac2991a865 	 GET 	 undefined 	 /states/KS/funfact 
05-10-2023	12:13:26 	 1ce96af6-24d6-4ffd-9667-38a1008df10b 	 GET 	 undefined 	 /states/KS/funfact 
05-10-2023	12:13:28 	 4cf02ec3-3f29-4bd9-ba8e-e6d53956e62a 	 GET 	 undefined 	 /states/KS/funfact 
05-10-2023	12:13:49 	 7897fe54-ea17-4daf-addf-0603eb0a97ee 	 GET 	 undefined 	 /states/KS/capital 
05-10-2023	12:14:02 	 842fb408-8498-468b-a373-da6e4b1f34b4 	 GET 	 undefined 	 /states/KS/nickname 
05-10-2023	12:14:11 	 2f346a32-c453-4818-9e5b-e814df99f997 	 GET 	 undefined 	 /states/KS/population 
05-10-2023	12:14:17 	 95370b12-665c-44a7-926c-6dcf9d0e4ddd 	 GET 	 undefined 	 /states/KS/admission 
05-10-2023	12:14:28 	 8d834561-a21a-4173-af7b-94ba958d4175 	 GET 	 undefined 	 /states/ 
05-10-2023	12:18:18 	 a9f25fb0-d54b-4539-aa7f-a625c2888285 	 GET 	 undefined 	 /states/KS/ 
05-10-2023	12:18:55 	 79e45809-631e-4703-b1d1-f4d2730ae745 	 POST 	 undefined 	 /states/KS/funfact 
05-10-2023	12:20:46 	 99447c7a-ac32-4993-bb09-841ad0957cf0 	 GET 	 undefined 	 /states/MO/ 
05-10-2023	12:22:28 	 8e248d99-0679-4b28-8d18-5834f66fc8eb 	 POST 	 undefined 	 /states/MO/funfact 
05-10-2023	12:22:48 	 5a6455a9-11cd-4a6e-b750-85e97140459c 	 GET 	 undefined 	 /states/MO/ 
05-10-2023	12:23:51 	 77b1f613-59f6-4a0b-a458-f97b613b3cf8 	 GET 	 undefined 	 /states/OK/ 
05-10-2023	12:24:48 	 9eb21d3f-7071-4e9e-9ddd-697b795bea96 	 POST 	 undefined 	 /states/OK/funfact 
05-10-2023	12:26:40 	 86b66d9a-2f6b-4c18-b22b-c5b4f2d2e57b 	 GET 	 undefined 	 /states/NE/ 
05-10-2023	12:27:42 	 9a782fd2-a448-49fb-8943-842bc2a161bc 	 POST 	 undefined 	 /states/NE/funfact 
05-10-2023	12:28:06 	 bcb17b10-5cd2-493e-879e-6a5504eaf621 	 GET 	 undefined 	 /states/CO/ 
05-10-2023	12:29:02 	 24e9f0f9-cf20-4b96-88fa-83795be5bec4 	 POST 	 undefined 	 /states/CO/funfact 
05-10-2023	12:29:06 	 281c60da-2d96-4c54-b129-1c1bc7bfb437 	 GET 	 undefined 	 /states/CO/ 
05-10-2023	12:30:36 	 d8b4f34c-4590-41c7-999e-04d16f642524 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:31:58 	 42fd3687-bf8e-4180-a2df-6ed712b8d015 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:32:05 	 e7db2c54-303a-4d74-ac63-49121978cf2a 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:34:12 	 cd40a37a-b995-48d3-a45d-1422c791c97e 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:36:42 	 6387de96-0327-4e4f-8f1e-7179fad25ef8 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:39:23 	 c534d862-5421-44c3-b5f1-d2c50eb55d7b 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:39:54 	 0dbe1e5d-117b-414f-81af-a4cabe83525e 	 PATCH 	 undefined 	 /states/KS/funfact 
05-10-2023	12:42:04 	 1e997ee3-2537-45ff-842e-c6c2c1c8e0d5 	 GET 	 undefined 	 /states/ks/ 
05-10-2023	12:42:48 	 17bae877-040c-4a80-91c1-c4dc1303969f 	 DELETE 	 undefined 	 /states/ks/funfact 
05-10-2023	12:44:45 	 1e59ea43-0cb6-4d93-8d65-0d7771b2ea95 	 DELETE 	 undefined 	 /states/ks/funfact 
05-10-2023	12:48:13 	 9dc27a81-ef5a-4acd-8fb1-db8a737d689c 	 DELETE 	 undefined 	 /states/ks/funfact 
05-10-2023	12:50:05 	 e52f9d93-01cd-4431-a9e0-edb6f5111707 	 DELETE 	 undefined 	 /states/ks/funfact 
05-10-2023	12:52:21 	 7168c1a9-4374-45fb-8590-4aa6354f6f50 	 POST 	 undefined 	 /states/KS/funfact 
05-10-2023	12:53:05 	 082bf4e5-2b7c-437d-860e-5747318d72b5 	 DELETE 	 undefined 	 /states/ks/funfact 
05-10-2023	12:55:04 	 3ef5d2ac-daa1-45ba-b822-5d511d9b7da0 	 GET 	 undefined 	 /states/ks/ 
05-10-2023	12:55:30 	 b363c9d3-d27b-4532-8865-0886afebd384 	 GET 	 undefined 	 /states/AZ/ 
